,true_label,predicted_label,probability_0,probability_1
0,0,0,0.828582,0.17141801
1,0,0,0.91728693,0.08271306
2,0,0,0.93570876,0.06429122
3,0,0,0.9616726,0.03832739
4,0,0,0.69188225,0.30811778
5,0,0,0.9061944,0.09380559
6,1,0,0.89014465,0.10985536
7,0,0,0.98237044,0.01762955
8,0,0,0.853254,0.14674596
9,0,0,0.97059804,0.029401971
10,0,0,0.9658002,0.034199797
11,1,0,0.9805683,0.019431729
12,0,0,0.86812556,0.13187444
13,0,0,0.94681126,0.053188723
14,0,0,0.93484515,0.06515484
15,0,0,0.9765296,0.023470422
16,0,0,0.9840208,0.015979165
17,0,0,0.9849448,0.0150551535
18,0,0,0.9578006,0.0421994
19,0,0,0.88639975,0.11360028
20,0,0,0.9767502,0.023249784
21,0,1,0.28976595,0.71023405
22,0,0,0.90561026,0.09438975
23,0,0,0.9357889,0.064211085
24,0,0,0.93480635,0.06519368
25,0,0,0.81767845,0.18232158
26,0,0,0.9686178,0.031382196
27,1,0,0.96017873,0.03982128
28,0,0,0.9532848,0.046715178
29,1,1,0.4005741,0.5994259
30,0,0,0.98729324,0.012706774
31,0,0,0.9532143,0.04678574
32,0,0,0.99928516,0.0007148675
33,0,1,0.24755198,0.752448
34,0,0,0.99304694,0.0069530737
35,0,0,0.85578555,0.14421444
36,0,0,0.98133934,0.018660668
37,0,0,0.9762717,0.023728311
38,0,0,0.962611,0.037389
39,1,0,0.8405285,0.15947148
40,0,0,0.9976863,0.0023137003
41,0,0,0.9914812,0.008518803
42,0,0,0.99732435,0.0026756271
43,0,0,0.99139595,0.008604046
44,0,0,0.9377635,0.062236488
45,1,0,0.96713424,0.03286577
46,0,0,0.90022534,0.099774644
47,0,0,0.99436617,0.0056338245
48,0,0,0.94276404,0.057235975
49,0,0,0.97828764,0.021712344
50,0,0,0.9874206,0.012579393
51,0,0,0.93094146,0.06905857
52,0,0,0.98957604,0.010423963
53,0,0,0.99968386,0.00031616853
54,0,0,0.93670475,0.06329526
55,0,1,0.48750007,0.5124999
56,0,0,0.91911876,0.080881216
57,0,0,0.880621,0.11937901
58,0,0,0.7859136,0.21408641
59,0,0,0.79338217,0.20661783
60,0,0,0.56726885,0.43273118
61,0,0,0.8932738,0.10672625
62,0,0,0.79610986,0.20389014
63,0,0,0.84837794,0.15162206
64,0,0,0.8931965,0.106803484
65,0,0,0.7995949,0.20040514
66,1,0,0.98615605,0.013843975
67,0,0,0.8897636,0.11023641
68,1,0,0.72921646,0.27078357
69,1,0,0.7489536,0.2510464
70,0,0,0.8941276,0.10587236
71,0,0,0.8423787,0.15762134
72,0,0,0.80207455,0.19792545
73,0,0,0.6691844,0.3308156
74,0,0,0.9760313,0.023968687
75,0,0,0.64659774,0.35340226
76,0,0,0.9515343,0.048465747
77,1,0,0.90408826,0.09591174
78,0,0,0.96491146,0.035088524
79,1,1,0.43686694,0.56313306
80,0,0,0.8121821,0.18781787
81,0,0,0.9529314,0.047068626
82,0,0,0.629452,0.37054798
83,0,0,0.9950047,0.0049953023
84,0,0,0.9700589,0.02994111
85,0,0,0.9889768,0.0110232355
86,0,0,0.8252122,0.1747878
87,0,0,0.9931236,0.006876424
88,0,0,0.9670312,0.032968834
89,0,0,0.7513162,0.2486838
90,0,0,0.82093066,0.17906933
91,0,0,0.97548306,0.024516936
92,0,0,0.9749591,0.025040952
93,0,0,0.8670973,0.1329027
94,0,0,0.88228184,0.11771815
95,0,0,0.9977873,0.0022126883
96,0,0,0.82208085,0.17791916
97,1,0,0.9606751,0.039324854
98,0,0,0.94133943,0.058660563
99,0,0,0.91431713,0.085682884
100,0,0,0.9015607,0.09843927
101,0,0,0.9641548,0.03584523
102,0,1,0.0826419,0.9173581
103,1,0,0.94735694,0.052643053
104,1,1,0.22220033,0.77779967
105,0,1,0.484564,0.515436
106,1,0,0.6606066,0.3393934
107,0,0,0.86765057,0.13234942
108,1,0,0.9998888,0.00011123142
109,0,0,0.8375523,0.1624477
110,1,1,0.4536159,0.5463841
111,0,0,0.9141669,0.085833095
112,0,0,0.9492343,0.050765716
113,0,0,0.9109136,0.08908643
114,1,1,0.20565075,0.79434925
115,0,0,0.9119147,0.08808529
116,0,0,0.661649,0.33835104
117,0,0,0.9233805,0.07661953
118,0,0,0.79368734,0.20631266
119,0,0,0.9940919,0.005908046
120,1,0,0.91802955,0.08197044
121,0,0,0.9685246,0.031475414
122,0,0,0.9733433,0.026656702
123,0,0,0.90528417,0.094715804
124,0,0,0.9500711,0.049928885
125,0,0,0.9852272,0.014772771
126,1,0,0.9126818,0.0873182
127,0,0,0.996595,0.003404966
128,0,0,0.71898293,0.2810171
129,0,0,0.9860495,0.013950541
130,0,0,0.8735548,0.12644514
131,0,0,0.9977878,0.0022122557
132,0,0,0.97207266,0.027927337
133,0,0,0.99240696,0.0075930348
134,0,0,0.9081627,0.091837265
135,0,0,0.6747117,0.32528833
136,1,0,0.78227067,0.21772934
137,0,1,0.353656,0.646344
138,1,0,0.9454248,0.054575197
139,0,0,0.8735626,0.12643746
140,0,0,0.99812007,0.0018799136
141,0,0,0.9218708,0.078129165
142,1,0,0.7653335,0.23466654
143,0,0,0.99433064,0.005669354
144,0,0,0.99142766,0.008572329
145,0,0,0.64006054,0.3599395
146,0,0,0.98476416,0.01523586
147,0,0,0.98105466,0.018945353
